omega,n_sites,n_taxa,rep,branch,NOE,pvalue,ICEnorm,is_fg
1.25,3000,8,13,G,-0.048379629629629654,0.76,0.07354673402026775,False
1.25,3000,8,13,H,-0.005879629629629639,0.5,0.08041005644594837,False
1.25,3000,8,14,A,0.061134259259259235,0.06,0.08222417076228,True
1.25,3000,8,14,B,-0.03365740740740742,0.76,0.07189584522080338,False
1.25,3000,8,14,C,-0.10094907407407411,1.0,0.08345224283807522,False
1.25,3000,8,14,D,0.000509259259259251,0.54,0.07973911105360189,False
1.25,3000,8,14,E,0.01696759259259257,0.24,0.07870529682483461,False
1.25,3000,8,14,F,0.029050925925925897,0.24,0.08370548972815942,False
1.25,3000,8,14,G,-0.041782407407407435,0.78,0.07657176482254022,False
1.25,3000,8,14,H,-0.0021990740740740963,0.54,0.07850430896494218,False
1.25,3000,8,15,A,0.14405092592592594,0.0,0.08342864919302505,True
1.25,3000,8,15,B,-0.022615740740740745,0.62,0.08489184977020707,False
1.25,3000,8,15,C,-0.07115740740740742,0.96,0.08051956811089732,False
1.25,3000,8,15,D,-0.044074074074074085,0.84,0.08007092005000517,False
1.25,3000,8,15,E,-0.00990740740740741,0.48,0.08741695794888449,False
1.25,3000,8,15,F,-0.012824074074074085,0.54,0.07709321758449873,False
1.25,3000,8,15,G,0.052384259259259255,0.1,0.08708466240346761,False
1.25,3000,8,15,H,-0.002824074074074083,0.52,0.07675687878853611,False
1.25,3000,8,16,A,0.029143518518518496,0.3,0.09279157438816762,True
1.25,3000,8,16,B,-0.01939814814814816,0.54,0.07747133607494652,False
1.25,3000,8,16,C,0.008935185185185162,0.32,0.07566707229636929,False
1.25,3000,8,16,D,0.11247685185185186,0.02,0.08193893840049597,False
1.25,3000,8,16,E,-0.0339814814814815,0.74,0.07915980991532195,False
1.25,3000,8,16,F,-0.07064814814814815,0.94,0.08277826973919598,False
1.25,3000,8,16,G,-0.033981481481481494,0.58,0.08121725624902645,False
1.25,3000,8,16,H,0.024768518518518513,0.3,0.07565177469887381,False
1.25,3000,8,17,A,0.02261574074074072,0.38,0.08842959804281435,True
1.25,3000,8,17,B,0.00928240740740739,0.42,0.08497532901669283,False
1.25,3000,8,17,C,-0.011342592592592609,0.52,0.08107663259672045,False
1.25,3000,8,17,D,0.02990740740740738,0.18,0.087099071667397,False
1.25,3000,8,17,E,-0.03425925925925926,0.86,0.07521940786308395,False
1.25,3000,8,17,F,0.020740740740740726,0.24,0.07894041880119174,False
1.25,3000,8,17,G,-0.05967592592592595,0.82,0.07811035185035692,False
1.25,3000,8,17,H,0.040324074074074054,0.26,0.08650460175521607,False
1.25,3000,8,18,A,0.08567129629629627,0.14,0.08340662928885118,True
1.25,3000,8,18,B,-0.03578703703703705,0.9,0.08083703880820019,False
1.25,3000,8,18,C,-0.04266203703703706,0.88,0.08324979094294409,False
1.25,3000,8,18,D,0.027546296296296277,0.52,0.08775179330977192,False
1.25,3000,8,18,E,0.03129629629629628,0.38,0.08527710544834899,False
1.25,3000,8,18,F,-0.042453703703703716,0.92,0.07695548150328163,False
1.25,3000,8,18,G,0.007754629629629611,0.52,0.07867777350621805,False
1.25,3000,8,18,H,-0.01766203703703705,0.72,0.08258308755097077,False
1.25,3000,8,19,A,-0.008819444444444456,0.42,0.0787336204033856,True
1.25,3000,8,19,B,0.014722222222222192,0.2,0.07919849235749983,False
1.25,3000,8,19,C,0.00013888888888887244,0.48,0.09116982121143845,False
1.25,3000,8,19,D,0.006805555555555541,0.26,0.06967444935066401,False
1.25,3000,8,19,E,-0.003611111111111123,0.36,0.0807962493420972,False
1.25,3000,8,19,F,-0.034652777777777796,0.6,0.08472982408720738,False
1.25,3000,8,19,G,-0.0221527777777778,0.62,0.08436585773261729,False
1.25,3000,8,19,H,-0.02756944444444446,0.6,0.08263588670757926,False
1.5,500,8,0,A,0.03194444444444445,0.46,0.17172576293125325,True
1.5,500,8,0,B,-0.10430555555555557,0.9,0.18939087707961982,False
1.5,500,8,0,C,0.003194444444444444,0.5,0.20238117608142012,False
1.5,500,8,0,D,-0.02680555555555556,0.74,0.20607563710899102,False
1.5,500,8,0,E,-0.041805555555555554,0.66,0.20664939817340894,False
1.5,500,8,0,F,0.16944444444444445,0.22,0.2353819623715389,False
1.5,500,8,0,G,0.14694444444444443,0.2,0.22743317428517792,False
1.5,500,8,0,H,-0.28055555555555556,1.0,0.18226815986004094,False
1.5,500,8,1,A,0.018194444444444444,0.38,0.18713967435060205,True
1.5,500,8,1,B,-0.13930555555555557,0.9,0.1794563764522808,False
1.5,500,8,1,C,-0.14055555555555557,0.76,0.17726629981297268,False
1.5,500,8,1,D,-0.11805555555555555,0.78,0.1868035419139716,False
1.5,500,8,1,E,0.13444444444444442,0.16,0.22793549756319817,False
1.5,500,8,1,F,0.10069444444444442,0.18,0.2308350046737194,False
1.5,500,8,1,G,-0.2105555555555556,0.96,0.19406669656602443,False
1.5,500,8,1,H,0.19194444444444445,0.02,0.21192014204633378,False
1.5,500,8,2,A,-0.046944444444444455,0.62,0.18458537119517154,True
1.5,500,8,2,B,-0.22194444444444447,0.94,0.17456261478759275,False
1.5,500,8,2,C,0.009305555555555525,0.46,0.18389749056753613,False
1.5,500,8,2,D,0.22680555555555554,0.04,0.22930879431052822,False
1.5,500,8,2,E,-0.14819444444444446,0.94,0.18762372461135357,False
1.5,500,8,2,F,0.05555555555555558,0.4,0.20167326665049456,False
1.5,500,8,2,G,-0.01569444444444444,0.56,0.17582214287718692,False
1.5,500,8,2,H,0.030555555555555558,0.38,0.19636688545603537,False
1.5,500,8,3,A,0.10124999999999998,0.28,0.2198631729390232,True
1.5,500,8,3,B,-0.21875000000000003,0.98,0.17098130447941226,False
